id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
226731,Vancouver central- 1bdrm private condo,560892,Vancouver Furnished,,Downtown,49.28406,-123.11598,Entire home/apt,165,30,12,2019-08-21,0.16,4,252
226757,"Amazing views, Cultural heart of Vancouver-Robson3",560892,Vancouver Furnished,,Downtown,49.28119,-123.11883,Entire home/apt,210,30,8,2019-07-04,0.09,4,339
248014,"Stunning views, comfort, location!!",1299977,Gabriella,,Grandview-Woodland,49.29074,-123.05849,Entire home/apt,120,31,1,2014-09-04,0.02,1,187
248973,East Vancouver Hidden Gem,1304461,Shelley,,Hastings-Sunrise,49.28053,-123.05494,Entire home/apt,140,2,86,2019-10-05,0.89,2,316
249106,East Vancouver Loft,1304461,Shelley,,Hastings-Sunrise,49.28035,-123.05365,Shared room,45,2,98,2019-11-01,1.00,2,309
254657,Heritage Loft in heart of Gastown,241920,Scott,,Downtown Eastside,49.28273,-123.10492,Entire home/apt,198,2,68,2019-09-30,0.85,1,0
256178,Luxury Coach House in Kitsilano license (Phone number hidden by Airbnb),1267409,Cormac,,Kitsilano,49.26291,-123.17216,Entire home/apt,300,4,8,2019-08-09,0.09,2,147
257163,"Lg. Room, Private Bath & Breakfast!",70797,Adrianna,,Kensington-Cedar Cottage,49.24003,-123.0639,Private room,67,3,40,2019-09-24,0.42,1,68
258636,FABULOUS Luxury Downtown Vancouver!,948852,Ian,,Downtown,49.27796,-123.12671,Entire home/apt,99,120,52,2018-10-28,0.54,1,154
303950,"West Coast Stunner!  Mountain view, central",196890,Siobhan,,Mount Pleasant,49.26225,-123.08421,Entire home/apt,236,30,27,2019-06-07,0.36,1,312
306178,Sunset views - LGBTQ2+ friendly,1574553,Michelle,,Renfrew-Collingwood,49.23311,-123.02669,Private room,66,2,71,2019-10-07,0.82,2,169
311354,Close to downtown/shops/restaurants/skytrain,58512,Q,,Grandview-Woodland,49.26415,-123.07008,Entire home/apt,199,30,5,2019-09-02,0.21,5,90
325795,"Spotless 1B Apt. 5 min walk to Commerical ""Drive""",343195,Trish,,Grandview-Woodland,49.26634,-123.06207,Entire home/apt,81,2,199,2019-11-02,2.18,2,309
359942,Stylish Modern Central Downtown★★★★★★★,1200456,Nala,,Downtown,49.27825,-123.11865,Private room,250,1,43,2019-09-25,0.46,8,364
363705,This is the door to Vancouver USE,981145,Dianne,,Downtown Eastside,49.27711,-123.07861,Private room,73,1,105,2019-10-26,1.16,4,317
377706,Bright Spacious Bedroom Pvt Bath,1898008,Tina,,Grandview-Woodland,49.279,-123.06977,Private room,42,30,57,2019-10-01,0.65,1,321
415700,"LARGE PRIVATE ROOM+ BATH, SEPARATE ENTRY, KING BED",83871,Adam,,Renfrew-Collingwood,49.23468,-123.05508,Private room,50,2,200,2019-10-24,2.17,3,312
416453,Ultra Modern Studio in Chinatown,1318151,Suz,,Downtown Eastside,49.27844,-123.09986,Entire home/apt,149,30,44,2019-07-08,0.49,1,270
417047,New 2 BR Only Minutes from Downtown,2074212,Andrea,,Downtown Eastside,49.27782,-123.09209,Entire home/apt,110,2,203,2019-10-06,2.22,1,67
419437,Trout  Lake  Haven,989790,Paul,,Kensington-Cedar Cottage,49.25231,-123.06134,Private room,59,1,92,2019-10-20,1.00,3,167
436032,Trendy & Spacious 2 bd Gastown Loft,2165986,Kristy,,Downtown Eastside,49.28297,-123.10393,Entire home/apt,246,4,74,2019-11-01,0.81,1,41
441075,1 Bdrm Apartment Downtown Vancouver,2121651,Diana,,Downtown Eastside,49.28398,-123.10528,Entire home/apt,218,3,48,2019-09-23,0.55,1,346
448104,Modern Charm – Walk everywhere!,179396,Lili,,West End,49.28145,-123.12582,Entire home/apt,139,30,247,2019-10-27,2.71,5,61
461370,Lovely large room w/ private bath,1200456,Nala,,Killarney,49.22814,-123.03149,Private room,90,2,44,2019-09-22,0.50,8,365
461386,Beautiful room (s) Vancouver Home,1200456,Nala,,Killarney,49.22846,-123.03121,Private room,90,2,35,2019-09-02,0.39,8,365
475296,1400 sqft LOFT PENTHOUSE IN GASTOWN WITH TWO DECKS,2356016,Jocelyn,,Downtown Eastside,49.28339,-123.10453,Entire home/apt,350,1,125,2019-10-20,1.64,1,352
496298,"Downtown 1Bed+Den, stylish & modern",2451689,Marlin,,Downtown,49.27996,-123.11684,Entire home/apt,120,31,155,2019-08-24,1.73,1,279
498112,Central Modern House with View and 2 Kitchens,2459577,Allison,,Kensington-Cedar Cottage,49.24937,-123.07303,Entire home/apt,375,5,26,2019-08-21,0.29,2,192
507767,One Bedroom Suite @ the Luxurious LEVEL Vancouver,2502595,LEVEL Furnished Living,,Downtown,49.2775,-123.12296,Entire home/apt,230,31,2,2014-08-31,0.03,19,364
523272,Adorable 2 Bedroom Cambie Craftsman - Garden Suite,2572830,Katie,,South Cambie,49.25529,-123.11692,Entire home/apt,235,1,29,2019-08-22,0.32,2,19
540348,Modern Architectural Home Lakeside sleeps 6,2655554,Kristen,,Kensington-Cedar Cottage,49.25761,-123.06393,Entire home/apt,330,1,27,2019-08-13,0.36,1,0
557357,Commercial Dr West Coast Garden Ste,525761,Diane,,Grandview-Woodland,49.27909,-123.06272,Entire home/apt,81,30,185,2019-10-13,2.07,2,68
591778,Mai Lodging - 4204 Double 8,9187,Mai,,Kensington-Cedar Cottage,49.24772,-123.0651,Private room,40,30,26,2019-09-07,0.30,6,115
591808,Mai Lodging - Room Single Bed 2,9187,Mai,,Kensington-Cedar Cottage,49.24828,-123.06716,Private room,37,2,22,2019-10-09,0.25,6,291
622217,Sub-Penthouse with Amazing Views in Heart of City,3084195,Sherry,,Downtown,49.27801,-123.10715,Entire home/apt,551,2,36,2019-10-11,0.47,2,352
625396,Close to Jericho beach garden level loft.,3102862,The Vancouver Connection!,,Kitsilano,49.27063,-123.18412,Entire home/apt,199,2,168,2019-10-22,1.90,2,85
637617,Commercial Drive Character Suite,3181196,Alison,,Grandview-Woodland,49.27827,-123.07237,Entire home/apt,300,6,19,2019-08-27,0.22,2,326
648026,Quiet Oasis Garden Suite - Steps from the Drive,893727,Peter & Robin,,Grandview-Woodland,49.26966,-123.06855,Entire home/apt,81,21,53,2019-09-10,0.61,1,35
654744,English Bay Hideaway @ Stanley Park,2796859,James,,West End,49.29262,-123.14143,Entire home/apt,165,30,56,2019-10-02,0.71,1,251
654763,1 Bedroom Private Furnished Suite,2459577,Allison,,Kensington-Cedar Cottage,49.25145,-123.07335,Entire home/apt,77,30,28,2019-10-22,0.35,2,196
659986,Nice room in amazing luxury home near DOWNTOWN+UBC,84820,Chris,,South Cambie,49.24413,-123.11955,Private room,116,31,27,2018-05-06,0.32,2,90
670259,Cozy room in 100 year old home,2818180,Shannon,,Kensington-Cedar Cottage,49.2619,-123.07239,Private room,59,30,91,2019-10-31,1.12,1,11
680412,Adanac Suite - Commercial Drive,3181196,Alison,,Grandview-Woodland,49.27641,-123.07224,Entire home/apt,100,1,30,2019-09-01,0.37,2,281
685239,Sunny Side Up- tiny home,3494649,Kendra & Trevor,,Hastings-Sunrise,49.27484,-123.03704,Entire home/apt,120,3,61,2019-09-27,0.70,2,75
688038,Vancouver's Beach At Your Doorstep,268742,Kayla,,West End,49.27911,-123.13774,Entire home/apt,294,2,29,2019-07-12,0.34,1,175
688828,3 bedroom family home in amazing location,1465740,Helene,,Kitsilano,49.27063,-123.17998,Entire home/apt,257,3,9,2019-08-13,0.17,1,0
703179,Cute room in a condo full of art,3246254,Izabela,,Downtown Eastside,49.28115,-123.10778,Private room,85,1,143,2019-11-04,1.71,1,276
713271,Luxury Seaview Studio Suite - Westend,3671073,Susan,,West End,49.28081,-123.13615,Entire home/apt,135,30,72,2018-12-18,0.93,1,327
727856,1 bedroom apartment - Amazing Location,560892,Vancouver Furnished,,Downtown,49.28387,-123.11732,Entire home/apt,158,30,4,2017-07-03,0.08,4,323
731219,Kitsilano Laneway House - Quiet Neighbourhood,3804851,Fran & Julian,,Kitsilano,49.2595,-123.18244,Entire home/apt,151,31,9,2019-07-26,0.12,1,221
